userId,user_jobRole,user_department,user_primaryGapDomain,user_currentLevel,user_requiredLevel,user_skillGap,user_quizAttempts,user_averageQuizPercentage
USER_44,Director,IT,Statistics,1,3,2,17,92.01962560069141
USER_45,Director,HR,Data Science,1,3,2,7,46.24651491907443
USER_46,Analyst,IT,Data Engineering,3,5,2,14,83.2487857786304
USER_47,Director,IT,Leadership,2,4,2,19,80.08510819423877
USER_48,Director,Finance,Data Engineering,3,4,1,6,77.99444649465764
USER_49,Director,Operations,Data Science,1,5,4,18,74.98249365818154
USER_50,Analyst,Operations,Communication,2,4,2,19,60.1519514289901
USER_51,Director,IT,Statistics,3,5,2,19,77.44893447094805
USER_52,Manager,Operations,Project Management,1,4,3,11,53.170631504857525
USER_53,Manager,HR,Statistics,1,4,3,13,68.26392716162886
USER_54,Analyst,Statistics,Data Science,3,4,1,7,81.93075118965427
USER_55,Manager,HR,Data Science,1,5,4,13,99.06413084221313
USER_56,Manager,Operations,Statistics,1,3,2,10,89.35503255470044
USER_57,Manager,Finance,Data Engineering,1,4,3,16,64.31488528166133
USER_58,Analyst,Finance,Project Management,3,4,1,5,83.93107470754374
USER_59,Analyst,Finance,Statistics,1,3,2,12,90.28641779069775
USER_60,Manager,Finance,Data Engineering,2,4,2,10,51.06225524073779
USER_61,Analyst,Operations,Data Engineering,2,5,3,10,57.32162420624199
USER_62,Director,HR,Communication,1,3,2,1,63.79896238312325
USER_63,Specialist,Statistics,Project Management,1,4,3,3,72.39056673449161
USER_64,Director,Statistics,Leadership,4,5,1,12,49.28032845299417
USER_65,Analyst,Statistics,Data Science,2,4,2,8,61.09240966805313
USER_66,Director,Finance,Data Science,1,3,2,6,44.556004622177326
USER_67,Specialist,HR,Statistics,2,3,1,5,75.41384001214523
USER_68,Director,HR,Leadership,2,3,1,16,48.209117855137684
USER_69,Analyst,IT,Statistics,1,3,2,15,92.37675015258449
USER_70,Analyst,Statistics,Data Engineering,1,3,2,17,69.36549781858844
USER_71,Analyst,Finance,Leadership,1,4,3,14,42.64992626260601
USER_72,Analyst,Finance,Data Science,2,5,3,6,42.03675871514793
USER_73,Director,Finance,Data Engineering,1,5,4,17,84.70387288721322
USER_74,Manager,HR,Communication,3,5,2,9,78.67279903754934
USER_75,Director,IT,Project Management,4,5,1,12,44.61719209775255
USER_76,Manager,IT,Data Engineering,4,5,1,6,58.91742026983662
USER_77,Analyst,Operations,Data Science,2,3,1,17,71.21008659272391
USER_78,Manager,HR,Data Engineering,2,4,2,9,99.42047880050663
USER_79,Analyst,Finance,Leadership,1,5,4,2,44.20178234484826
USER_80,Analyst,Operations,Project Management,2,3,1,11,77.6503277931022
USER_81,Manager,Statistics,Communication,1,5,4,6,71.35115149807139
USER_82,Director,Operations,Data Science,1,4,3,13,57.82017258729293
USER_83,Analyst,Statistics,Statistics,2,4,2,15,41.07243608400483
USER_84,Director,Statistics,Project Management,1,5,4,3,53.09523327190385
USER_85,Analyst,HR,Statistics,1,3,2,5,98.9398309048049
USER_86,Analyst,Finance,Project Management,2,5,3,6,99.4701175682186
USER_87,Manager,Operations,Leadership,1,3,2,18,70.76131066099052
USER_88,Analyst,Finance,Statistics,2,5,3,8,51.18629572865527
USER_89,Analyst,Statistics,Leadership,1,4,3,8,95.66513699171279
USER_90,Director,Finance,Statistics,1,3,2,2,85.49430854224548
USER_91,Director,HR,Project Management,2,3,1,5,77.37624297610712
USER_92,Analyst,IT,Data Engineering,1,5,4,13,91.60760898507542
USER_93,Director,HR,Leadership,2,3,1,8,42.662599811994205
USER_94,Director,Statistics,Statistics,1,4,3,4,84.11275927140716
USER_95,Specialist,HR,Statistics,2,5,3,4,42.92701490039038
USER_96,Specialist,Operations,Statistics,1,4,3,4,99.48852010870289
USER_97,Manager,Operations,Statistics,2,3,1,18,89.48085795550895
USER_98,Analyst,Statistics,Statistics,1,5,4,5,71.2756187308249
USER_99,Director,Statistics,Communication,1,3,2,12,90.22079970182033
USER_100,Specialist,HR,Data Science,2,3,1,5,51.35329238710035
USER_101,Manager,Statistics,Data Engineering,1,5,4,18,92.7442888136879
USER_102,Analyst,Finance,Statistics,3,4,1,3,73.37090410238542
USER_103,Director,Finance,Data Engineering,2,3,1,12,77.01561510254453
USER_104,Specialist,Finance,Data Science,1,3,2,12,86.79072370906862
USER_105,Director,Finance,Project Management,2,5,3,8,97.77952023153968
USER_106,Analyst,Operations,Communication,2,5,3,3,50.425208518454006
USER_107,Specialist,Statistics,Communication,3,4,1,11,44.041036088126305
USER_108,Manager,Finance,Statistics,1,4,3,17,92.29220836914257
USER_109,Specialist,Operations,Data Engineering,3,5,2,11,41.47521498752809
USER_110,Director,HR,Leadership,2,3,1,10,80.9977225963903
USER_111,Manager,Operations,Statistics,2,4,2,3,65.57087813415838
USER_112,Director,Operations,Data Engineering,1,3,2,10,53.24617676732562
USER_113,Specialist,HR,Statistics,2,5,3,2,97.05181373502462
USER_114,Director,Operations,Communication,1,3,2,19,63.855663877767654
USER_115,Director,Statistics,Data Science,1,3,2,5,53.79727635346517
USER_116,Analyst,Statistics,Data Engineering,4,5,1,11,73.76501718060297
USER_117,Specialist,Statistics,Communication,4,5,1,16,45.4698694243715
USER_118,Specialist,HR,Leadership,2,4,2,11,41.95157076947511
USER_119,Specialist,Statistics,Communication,3,4,1,13,75.89963590734561
USER_120,Specialist,Statistics,Project Management,2,3,1,1,87.85354603823129
USER_121,Specialist,Operations,Leadership,1,3,2,17,80.82739758155952
USER_122,Director,HR,Statistics,3,4,1,12,85.42355605667339
USER_123,Specialist,HR,Communication,1,4,3,18,46.29581070509049
USER_124,Specialist,IT,Data Science,2,3,1,19,60.76099405869037
USER_125,Analyst,Statistics,Statistics,2,3,1,8,61.037615872550845
USER_126,Manager,Finance,Data Science,2,3,1,5,74.05245089569348
USER_127,Director,Finance,Project Management,2,4,2,9,50.04895493554419
USER_128,Director,HR,Data Science,1,5,4,5,75.68659824261616
USER_129,Specialist,Statistics,Data Science,3,5,2,17,96.11210891796759
USER_130,Director,HR,Statistics,2,4,2,6,79.64920709795504
USER_131,Manager,Finance,Communication,2,4,2,2,42.445246365548364
USER_132,Director,Finance,Communication,2,4,2,11,54.82619404060878
USER_133,Director,Finance,Data Engineering,1,3,2,18,98.55191534914788
USER_134,Analyst,Operations,Communication,2,3,1,18,49.70035264880816
USER_135,Manager,Operations,Project Management,3,4,1,8,69.59661080702797
USER_136,Director,Operations,Communication,3,4,1,14,55.46097331067282
USER_137,Analyst,Finance,Communication,2,3,1,19,77.72588909235671
USER_138,Analyst,HR,Communication,2,4,2,8,66.31692515137543
USER_139,Director,Finance,Data Engineering,2,4,2,3,65.30325561240733
USER_140,Manager,Operations,Statistics,3,5,2,11,63.03082911206778
USER_141,Analyst,HR,Statistics,1,3,2,7,64.3186109851446
USER_142,Specialist,Finance,Project Management,2,5,3,4,91.26310560217475
USER_143,Manager,IT,Data Engineering,2,3,1,14,75.57510398990692
USER_144,Manager,Statistics,Data Science,3,4,1,1,91.47917523536235
USER_145,Specialist,IT,Data Engineering,1,5,4,3,98.18926270471269
USER_146,Manager,Finance,Leadership,3,4,1,9,80.16342408756168
USER_147,Specialist,HR,Data Science,1,3,2,11,82.40663301312675
USER_148,Analyst,Operations,Project Management,1,3,2,11,68.47785254498883
USER_149,Manager,IT,Data Science,3,5,2,19,56.18497669101937
USER_150,Analyst,IT,Statistics,1,3,2,0,47.32659484060161
USER_151,Director,Operations,Project Management,1,3,2,0,70.43408852130355
USER_152,Manager,HR,Project Management,1,4,3,10,41.04278741112878
USER_153,Analyst,HR,Data Science,1,4,3,17,60.559209287254916
USER_154,Manager,Operations,Project Management,4,5,1,19,82.2808457641988
USER_155,Manager,Operations,Statistics,4,5,1,0,83.84976849225258
USER_156,Director,Finance,Data Engineering,1,4,3,0,90.28691737888661
USER_157,Manager,Finance,Statistics,2,5,3,17,77.07083441207283
USER_158,Analyst,IT,Data Science,4,5,1,0,76.03657255277417
USER_159,Analyst,Statistics,Project Management,2,3,1,1,99.96482354623998
USER_160,Analyst,Statistics,Project Management,1,5,4,15,85.14566575693435
USER_161,Analyst,HR,Data Engineering,1,3,2,3,79.03069886750295
USER_162,Director,Finance,Project Management,2,4,2,17,92.67346954247965
USER_163,Analyst,Statistics,Leadership,1,3,2,14,77.81252489974865
USER_164,Analyst,HR,Statistics,3,5,2,0,54.252647852459646
USER_165,Manager,Finance,Data Science,4,5,1,10,76.20691560288267
USER_166,Manager,Statistics,Project Management,2,4,2,2,72.5418198987843
USER_167,Analyst,Finance,Statistics,1,4,3,11,48.93951135821168
USER_168,Specialist,HR,Data Engineering,4,5,1,15,72.9648543058272
USER_169,Director,Operations,Project Management,3,4,1,10,40.45377249868853
USER_170,Specialist,HR,Data Engineering,1,5,4,18,43.61604341737365
USER_171,Director,Finance,Data Engineering,2,3,1,13,69.15230555117954
USER_172,Analyst,IT,Data Engineering,3,4,1,2,74.85592319576787
USER_173,Manager,Statistics,Statistics,2,4,2,12,64.8129460915211
USER_174,Director,IT,Data Science,3,4,1,9,87.9868657254413
USER_175,Manager,IT,Data Science,1,4,3,19,69.01273880319548
USER_176,Specialist,Operations,Project Management,2,3,1,9,46.73826066467315
USER_177,Manager,Operations,Data Engineering,2,5,3,8,87.62463102283098
USER_178,Analyst,Finance,Statistics,1,4,3,7,86.19668201510073
USER_179,Analyst,IT,Data Science,3,4,1,17,83.91748405513808
USER_180,Analyst,Finance,Communication,2,5,3,18,77.43155948059439
USER_181,Analyst,Statistics,Data Science,2,5,3,2,92.15557747906315
USER_182,Analyst,Operations,Data Science,1,5,4,14,53.814770105672196
USER_183,Manager,Operations,Leadership,1,4,3,1,56.47241524000752
USER_184,Manager,Operations,Data Engineering,3,4,1,6,83.47101108391709
USER_185,Specialist,HR,Leadership,4,5,1,3,83.46032902772447
USER_186,Manager,IT,Statistics,1,5,4,7,78.71739025154301
USER_187,Specialist,Statistics,Communication,1,5,4,5,61.29977834991624
USER_188,Specialist,Finance,Communication,1,3,2,4,44.195896342566044
USER_189,Director,IT,Data Engineering,2,4,2,2,51.41949176914407
USER_190,Manager,Statistics,Statistics,4,5,1,2,83.83903061435477
USER_191,Specialist,Operations,Project Management,2,4,2,12,78.09760273546199
USER_192,Manager,Statistics,Data Science,4,5,1,15,40.074200785564564
USER_193,Manager,Operations,Communication,4,5,1,18,49.14496079982504
USER_194,Manager,Operations,Data Engineering,1,3,2,19,77.41514128016559
USER_195,Analyst,Operations,Statistics,4,5,1,15,70.41030590922895
USER_196,Manager,IT,Communication,1,4,3,0,53.64143800576593
USER_197,Analyst,Finance,Data Engineering,1,4,3,8,70.5834548051019
USER_198,Manager,IT,Leadership,3,4,1,17,70.94076566178987
USER_199,Director,IT,Leadership,3,4,1,4,63.46256578349046
USER_200,Manager,Finance,Communication,1,5,4,12,62.837397608594806
USER_201,Manager,HR,Statistics,2,4,2,15,52.71894945413431
USER_202,Analyst,HR,Project Management,1,3,2,1,49.227468980081866
USER_203,Specialist,Finance,Leadership,2,4,2,9,89.34883381806165
USER_204,Analyst,IT,Data Science,2,3,1,13,48.35188147705179
USER_205,Specialist,HR,Project Management,1,4,3,2,63.919781666338785
USER_206,Manager,Operations,Data Science,1,3,2,1,70.36645329080505
USER_207,Specialist,IT,Communication,2,3,1,12,96.18695043301963
USER_208,Specialist,Operations,Communication,1,4,3,10,77.17527729386978
USER_209,Director,HR,Communication,3,5,2,4,86.84569516410639
USER_210,Manager,HR,Statistics,2,3,1,17,43.466833659782
USER_211,Analyst,HR,Data Science,3,5,2,8,86.96176244464895
USER_212,Specialist,IT,Project Management,3,5,2,0,70.56532768898738
USER_213,Specialist,IT,Data Science,1,3,2,19,79.34342035369937
USER_214,Director,Operations,Project Management,2,5,3,19,64.28790574511198
USER_215,Director,IT,Data Engineering,3,5,2,13,50.61322870863126
USER_216,Manager,Finance,Data Engineering,1,4,3,5,55.58879252470206
USER_217,Specialist,Operations,Statistics,2,5,3,0,59.41002369468843
USER_218,Analyst,Operations,Statistics,1,4,3,17,43.87700079064517
USER_219,Analyst,IT,Communication,1,3,2,10,67.26264007359765
USER_220,Manager,IT,Communication,1,5,4,1,59.480555613403595
USER_221,Analyst,Operations,Communication,3,4,1,19,91.57391389881676
USER_222,Analyst,Statistics,Statistics,2,3,1,8,46.128971779452286
USER_223,Manager,IT,Data Science,1,3,2,15,55.28023732276307
USER_224,Specialist,IT,Statistics,2,4,2,7,67.68864787748404
USER_225,Specialist,HR,Leadership,2,5,3,7,53.61788166192185
USER_226,Analyst,HR,Data Science,4,5,1,4,84.24602612328914
USER_227,Specialist,Operations,Data Science,1,5,4,7,45.087520962748194
USER_228,Director,HR,Leadership,1,3,2,16,97.39008389796881
USER_229,Manager,IT,Data Engineering,3,4,1,10,98.24499746024021
USER_230,Specialist,HR,Leadership,3,5,2,10,64.7278558157663
USER_231,Specialist,Finance,Data Engineering,2,4,2,5,44.95705980755612
USER_232,Specialist,Statistics,Communication,1,3,2,8,62.91637837917375
USER_233,Specialist,IT,Statistics,1,5,4,13,44.1552583771516
USER_234,Manager,Finance,Data Science,3,4,1,9,87.92285149927447
USER_235,Manager,Operations,Communication,4,5,1,15,88.70618728540825
USER_236,Manager,Statistics,Communication,3,4,1,7,75.91189454106194
USER_237,Director,IT,Data Science,2,3,1,17,96.58455026468246
USER_238,Specialist,HR,Project Management,2,3,1,13,40.76289339921361
USER_239,Specialist,Statistics,Data Engineering,2,5,3,11,95.13559201837327
USER_240,Manager,Operations,Statistics,1,3,2,7,84.89151435873985
USER_241,Specialist,HR,Project Management,3,5,2,10,56.15987789812151
USER_242,Manager,Finance,Communication,1,3,2,14,45.512253262602684
USER_243,Director,IT,Statistics,3,5,2,12,64.80498695771568
USER_244,Specialist,HR,Data Engineering,1,3,2,18,49.09416229526042
USER_245,Director,Statistics,Project Management,4,5,1,4,49.60429809727438
USER_246,Specialist,Operations,Statistics,1,4,3,2,99.5085970809618
USER_247,Director,Statistics,Leadership,2,4,2,9,84.54088303435054
USER_248,Director,Finance,Project Management,3,5,2,8,62.51559426655998
USER_249,Manager,Finance,Data Science,2,4,2,11,84.74402696387392
USER_250,Analyst,Statistics,Project Management,2,3,1,19,59.615896980284745
USER_251,Manager,HR,Leadership,3,5,2,4,47.48284341468343
USER_252,Director,Finance,Data Engineering,2,4,2,4,79.78252027002954
USER_253,Manager,IT,Project Management,1,5,4,12,45.57943838938793
USER_254,Director,Operations,Communication,2,3,1,15,53.52632532782163
USER_255,Manager,Finance,Communication,2,4,2,18,56.18924320769286
USER_256,Director,HR,Communication,1,5,4,12,84.75551252882047
USER_257,Director,IT,Statistics,1,4,3,18,66.41193987732943
USER_258,Analyst,Statistics,Communication,3,4,1,17,62.28532011238275
USER_259,Director,HR,Data Science,4,5,1,12,50.40880445595744
USER_260,Director,IT,Project Management,3,5,2,10,84.39918320113671
USER_261,Specialist,Operations,Statistics,1,3,2,9,60.07067732451593
USER_262,Manager,Operations,Data Engineering,1,5,4,5,71.08472597432893
USER_263,Director,Finance,Data Engineering,1,5,4,2,65.7794087643361
USER_264,Specialist,Operations,Leadership,1,3,2,19,88.15859858774263
USER_265,Manager,Finance,Statistics,2,3,1,3,42.99052166697649
USER_266,Specialist,Statistics,Statistics,1,5,4,3,85.93077393946658
USER_267,Director,IT,Project Management,1,4,3,3,40.804157585929936
USER_268,Manager,IT,Communication,2,4,2,6,54.81872794431999
USER_269,Specialist,Finance,Communication,2,4,2,12,56.0883412057308
USER_270,Specialist,HR,Data Science,2,3,1,19,77.18196641196494
USER_271,Specialist,Finance,Leadership,1,3,2,0,86.31146357089727
USER_272,Manager,HR,Project Management,3,5,2,19,47.67929251201518
USER_273,Specialist,Statistics,Data Engineering,2,4,2,4,98.8778254298348
USER_274,Director,Finance,Statistics,1,3,2,4,73.9198152742966
USER_275,Analyst,IT,Leadership,1,5,4,8,41.32210961785025
USER_276,Analyst,Statistics,Data Engineering,2,5,3,16,98.83100932006636
USER_277,Director,Statistics,Data Engineering,2,4,2,6,82.47010583378612
USER_278,Manager,Finance,Data Science,2,4,2,0,65.71783281822854
USER_279,Specialist,Statistics,Data Engineering,2,4,2,1,45.853750614357985
USER_280,Manager,IT,Leadership,1,3,2,14,70.75015892621991
USER_281,Director,HR,Communication,2,5,3,16,52.08182692815846
USER_282,Specialist,IT,Data Engineering,3,4,1,14,52.29287644904275
USER_283,Specialist,IT,Data Engineering,2,5,3,13,54.32777268289236
USER_284,Analyst,Finance,Data Science,2,4,2,2,94.55321235169362
USER_285,Manager,IT,Data Science,3,4,1,17,45.604478318517735
USER_286,Specialist,IT,Data Engineering,3,5,2,9,45.64216626605598
USER_287,Analyst,Operations,Communication,2,3,1,7,87.87484957695364
USER_288,Specialist,IT,Project Management,2,4,2,5,87.59568102629527
USER_289,Director,Finance,Leadership,1,3,2,10,99.01128836291332
USER_290,Specialist,Operations,Data Science,1,3,2,15,49.12625699333637
USER_291,Manager,HR,Communication,2,4,2,8,88.21621212649211
USER_292,Analyst,Operations,Project Management,4,5,1,12,59.38067190317283
USER_293,Director,HR,Communication,2,4,2,4,73.58534101830296
USER_294,Manager,Finance,Data Science,2,3,1,4,98.4074433985704
USER_295,Specialist,Finance,Communication,1,3,2,5,82.61456791739869
USER_296,Manager,IT,Communication,1,3,2,11,58.84364769956392
USER_297,Specialist,IT,Statistics,3,4,1,15,82.72084121984685
USER_298,Analyst,HR,Statistics,1,4,3,19,94.32159245667222
USER_299,Manager,HR,Leadership,2,5,3,15,74.63498384611678
USER_300,Director,HR,Data Science,2,3,1,2,41.86693599504146
USER_301,Director,IT,Data Engineering,2,4,2,14,50.49288623055756
USER_302,Director,HR,Data Science,2,3,1,3,91.98319085508052
USER_303,Analyst,HR,Project Management,3,5,2,13,85.55492398365057
USER_304,Analyst,HR,Communication,1,3,2,12,93.93084329081483
USER_305,Director,HR,Leadership,2,3,1,1,66.82333262838553
USER_306,Specialist,HR,Project Management,1,4,3,18,98.60801971063955
USER_307,Analyst,Statistics,Project Management,4,5,1,7,84.39424724601582
USER_308,Manager,Statistics,Statistics,3,4,1,18,98.36657937352516
USER_309,Analyst,IT,Leadership,3,4,1,19,98.90792159563766
USER_310,Director,IT,Project Management,1,5,4,18,92.36523037396768
USER_311,Analyst,IT,Project Management,1,4,3,7,55.79894702519201
USER_312,Specialist,Statistics,Data Science,2,3,1,13,75.90144905786553
USER_313,Manager,Statistics,Leadership,1,3,2,3,43.86947627495005
USER_314,Analyst,Statistics,Communication,1,4,3,15,54.370610194572286
USER_315,Director,Finance,Data Science,3,4,1,4,55.138434990364395
USER_316,Analyst,Operations,Data Engineering,4,5,1,8,94.57760916619554
USER_317,Manager,Statistics,Communication,1,5,4,7,71.04678110530247
USER_318,Director,Statistics,Communication,2,4,2,18,93.55139739729077
USER_319,Director,IT,Data Engineering,1,4,3,18,54.246008102488375
USER_320,Director,IT,Communication,1,4,3,1,56.29412588506239
USER_321,Analyst,Statistics,Leadership,1,5,4,17,61.711185592308325
USER_322,Director,HR,Communication,2,4,2,9,98.29196145406304
USER_323,Director,HR,Data Engineering,1,3,2,15,56.84099293095846
USER_324,Manager,Statistics,Data Science,1,3,2,13,42.96981120962
USER_325,Director,Operations,Leadership,2,3,1,16,53.11059006124782
USER_326,Manager,Statistics,Statistics,2,5,3,8,89.00093052704308
USER_327,Specialist,Operations,Data Science,1,3,2,18,92.7917606416696
USER_328,Specialist,HR,Data Science,1,5,4,13,99.56901033994421
USER_329,Analyst,Statistics,Data Engineering,2,5,3,7,65.30969071232988
USER_330,Analyst,IT,Communication,1,3,2,15,57.8036584662454
USER_331,Manager,Operations,Statistics,4,5,1,7,91.77283017474474
USER_332,Analyst,Statistics,Project Management,2,5,3,14,92.29586363729383
USER_333,Analyst,IT,Statistics,2,4,2,17,45.53708752439543
USER_334,Specialist,Finance,Communication,1,3,2,18,61.28627751015905
USER_335,Analyst,Finance,Statistics,1,5,4,1,93.28234386160707
USER_336,Manager,HR,Data Engineering,2,4,2,8,76.75440810068915
USER_337,Manager,HR,Communication,4,5,1,1,71.79949137558512
USER_338,Analyst,Statistics,Leadership,2,4,2,11,57.702442459249376
USER_339,Director,Finance,Data Science,1,5,4,4,47.38019770742474
USER_340,Analyst,Statistics,Data Science,3,5,2,5,90.73626177939441
USER_341,Specialist,HR,Project Management,2,5,3,12,56.52287045532511
USER_342,Manager,IT,Data Engineering,2,4,2,11,87.90282043110115
USER_343,Specialist,Statistics,Leadership,4,5,1,7,93.37912198105398
USER_344,Manager,IT,Statistics,1,5,4,0,71.54875593239943
USER_345,Specialist,Operations,Statistics,1,3,2,0,60.75264764427145
USER_346,Manager,IT,Communication,1,5,4,17,78.21413904728459
USER_347,Director,HR,Leadership,3,5,2,16,46.075594876909534
USER_348,Analyst,IT,Data Engineering,2,4,2,16,48.43317805470164
USER_349,Director,HR,Data Engineering,3,4,1,12,63.05240277914801
USER_350,Director,HR,Leadership,2,4,2,9,63.72605607957486
USER_351,Director,Operations,Project Management,1,5,4,9,94.00499098098885
USER_352,Specialist,Operations,Data Engineering,2,3,1,2,93.30422033852088
USER_353,Analyst,Operations,Communication,1,4,3,12,76.4126404946158
USER_354,Specialist,IT,Project Management,1,3,2,4,49.24870259070923
USER_355,Analyst,Operations,Data Science,2,3,1,18,61.371138827055645
USER_356,Manager,Statistics,Statistics,1,3,2,13,80.64323929112301
USER_357,Specialist,HR,Data Engineering,3,5,2,0,74.82805605962176
USER_358,Director,Finance,Data Engineering,1,5,4,10,52.43854019125348
USER_359,Specialist,Finance,Data Engineering,1,3,2,7,59.549387053866994
USER_360,Director,Operations,Statistics,1,5,4,7,42.36757197345396
USER_361,Manager,HR,Data Science,2,3,1,1,83.32859412735435
USER_362,Manager,Operations,Data Engineering,4,5,1,10,72.95934876419045
USER_363,Specialist,Statistics,Data Engineering,2,3,1,13,42.0676755655
USER_364,Director,Finance,Project Management,1,3,2,15,45.62034524235461
USER_365,Director,Finance,Communication,3,4,1,3,57.147013331552216
USER_366,Director,HR,Data Science,3,4,1,10,95.12408263638264
USER_367,Director,Operations,Leadership,1,4,3,13,67.35875654559621
USER_368,Director,IT,Communication,3,5,2,6,97.36282861671599
USER_369,Analyst,Statistics,Data Science,1,3,2,0,93.5854123117249
USER_370,Director,HR,Leadership,2,5,3,4,70.62594934025392
USER_371,Director,Finance,Project Management,1,3,2,10,92.32290030682046
USER_372,Analyst,IT,Statistics,2,4,2,1,60.00443932954663
USER_373,Manager,HR,Leadership,1,4,3,18,52.039061044225676
USER_374,Director,HR,Statistics,2,3,1,0,60.5069442842057
USER_375,Analyst,Operations,Data Engineering,1,3,2,7,96.22546170752769
USER_376,Analyst,IT,Communication,1,3,2,2,76.81624685424751
USER_377,Manager,IT,Data Science,2,4,2,5,58.368240452775595
USER_378,Analyst,Finance,Leadership,1,4,3,12,97.30691243750209
USER_379,Specialist,Statistics,Leadership,2,4,2,1,87.67093266944492
USER_380,Manager,Operations,Project Management,2,4,2,14,52.66674826996817
USER_381,Specialist,HR,Statistics,3,5,2,6,68.5862191806275
USER_382,Manager,Operations,Data Science,1,3,2,12,76.20958576260273
USER_383,Analyst,Statistics,Data Engineering,1,5,4,9,75.15188730721115
USER_384,Manager,IT,Project Management,2,4,2,13,89.3520876630518
USER_385,Specialist,Operations,Project Management,3,4,1,7,56.28456282680286
USER_386,Specialist,Finance,Project Management,2,4,2,10,56.292822844674546
USER_387,Director,Statistics,Data Science,1,5,4,17,56.57017346925397
USER_388,Specialist,Finance,Project Management,1,3,2,7,40.22919535951499
USER_389,Analyst,IT,Data Engineering,2,3,1,10,89.6028795958611
USER_390,Director,Finance,Leadership,1,5,4,11,74.30854981642922
USER_391,Analyst,HR,Statistics,3,5,2,16,62.63881968437941
USER_392,Analyst,Finance,Communication,1,5,4,0,95.81025792630547
USER_393,Director,Operations,Data Science,2,5,3,10,79.98312481469239
USER_394,Specialist,Statistics,Data Science,1,5,4,8,46.32189533505139
USER_395,Analyst,Finance,Leadership,4,5,1,16,61.6030279540587
USER_396,Director,Finance,Communication,1,3,2,13,86.24683709583279
USER_397,Analyst,Finance,Data Science,1,5,4,4,89.3307932089854
USER_398,Manager,HR,Statistics,1,3,2,0,87.77443573377126
USER_399,Analyst,IT,Data Engineering,2,3,1,17,84.22579302592308
USER_400,Specialist,Statistics,Project Management,2,3,1,3,45.12048018905949
USER_401,Analyst,Statistics,Leadership,1,5,4,9,72.62834367197425
USER_402,Analyst,Operations,Data Engineering,2,4,2,5,60.24073280614556
USER_403,Manager,Finance,Project Management,2,3,1,2,69.5718750668468
USER_404,Manager,IT,Project Management,2,3,1,10,92.65882117904688
